"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5623","RGS18",-1.7187479343,11.03092394585,-7.48034435661733,1.28653413343235e-07,8.93702887744053e-06,7.70639398670423
"2444","GIMAP7",-1.721782852,10.153965872,-7.45323740682032,1.3664826505932e-07,8.93702887744053e-06,7.64756528586687
"1983","ERCC4",-1.5672313154,6.2034535883,-7.44094980697351,1.40438673544203e-07,8.93702887744053e-06,7.62086417512456
"578","BABAM2-AS1",1.9078306501,7.01032346915,7.436829854665,1.41733599829539e-07,8.93702887744053e-06,7.61190672059631
"639","BET1",-1.6323911253,7.68112873955,-7.36760026492379,1.6542413137227e-07,1.00493469584283e-05,7.46103443888675
"2439","GIMAP1-GIMAP5",-1.72323507425,9.767328607475,-7.36002738337683,1.68251252226771e-07,1.00548957300894e-05,7.44449016799142
"606","BBS10",-1.6295935077,6.02235969875,-7.33595157857516,1.77573165198666e-07,1.01329992455641e-05,7.39183927168946
"4577","NR4A2",2.88753541383333,8.84571861518333,7.29692174995794,1.9382634993061e-07,1.07045614499609e-05,7.30631431058937
"6515","ST8SIA4",-1.671336454825,7.6461451662375,-7.24188925434218,2.19376869172619e-07,1.14075971969762e-05,7.18536414533021
"3229","KBTBD7",-1.5431990906,5.98411024323333,-7.21196914698548,2.34693566417834e-07,1.20414582983215e-05,7.11943025828122
"7902","ZNF623",-1.5333088289,6.41210775685,-7.20655328210827,2.37581220171679e-07,1.20414582983215e-05,7.10748232389863
"869","CARD6",-1.8665033449,7.98768759805,-7.17819031234859,2.5331018619814e-07,1.23752884992279e-05,7.04484494384399
"2735","HCP5",-1.705402664,8.4674012214,-7.04337213087682,3.44039705266862e-07,1.48122040848227e-05,6.74560647743198
"3885","MAP3K7CL",-1.5863710045,9.91266813575,-6.91471380261627,4.61784044661171e-07,1.85827468826465e-05,6.45775087305272
"2691","H3C10",-1.877527777,8.7016790111,-6.75868320975767,6.61747483409153e-07,2.23598052621962e-05,6.10571111108113
"1169","CETN3",-1.6555408154,8.1701547299,-6.72733895145463,7.11609225295558e-07,2.31959309555125e-05,6.03460893463838
"814","CA2",-1.7695281407,8.94590105425,-6.48865255297576,1.24226268595006e-06,3.37221680986038e-05,5.48907901056231
"981","CCR2",-2.30712236845,8.395999414425,-6.37940798259065,1.60678422523324e-06,3.91098117801453e-05,5.23705121002105
"2441","GIMAP4",-1.7539948585,10.68474572775,-6.37358572629692,1.62903418839547e-06,3.94117999416041e-05,5.22357912118289
"2445","GIMAP8",-1.57368433805,7.456365851775,-5.97258691022679,4.23937412523036e-06,7.11717148738883e-05,4.28644759000959
"1409","CRNKL1",-1.7116236079,7.14806297185,-5.79051288196172,6.58218233950605e-06,9.48023672207994e-05,3.85535028769174
"493","ATG4C",-1.5301827059,6.50041949075,-5.74366440197853,7.37503241447903e-06,0.000103794832293758,3.74391577937083
