"","GSM1200294","GSM1200295","GSM1200296","GSM1200297","GSM1200298","GSM1200299","GSM1200300","GSM1200301","GSM1200302","GSM1200303","GSM1200304","GSM1200305","GSM1200306","GSM1200307","GSM1200308","GSM1200309","GSM1200310","GSM1200311","GSM1200312","GSM1200313"
"TAF4B",8.115104134,7.603984612,8.183151351,8.158264247,8.289577448,7.083511644,7.170209178,7.018519595,7.547639466,7.731592876,7.728349778,7.606256398,7.406682326,7.507982617,7.378248772,7.325836527,8.149107452,8.078578358,8.128290949,7.712024022
"TAF5",8.44233634,8.3357402875,7.5380635775,7.413769396,7.4957375035,8.218402819,8.0991145305,8.3603259295,8.4453750425,8.367950147,7.359272213,7.4993546425,7.4624723935,7.6389404815,7.625335075,7.703112273,7.4484626355,7.535462481,7.355280892,7.2637875675
"TAF5L",7.039268115,6.620930235,7.617682344,7.391230835,7.207555805,6.779776873,6.566333495,6.35684961,6.283157782,6.130060246,7.529054982,7.031375874,7.628616926,7.260744312,7.451789452,7.533176322,7.060302439,7.900481358,7.693087634,7.371242249
"TAF6L",5.62453982,5.829016334,5.755837191,5.610251638,5.603164746,6.609038251,6.754313984,6.395808903,6.308236008,6.630458298,5.537387614,6.131293363,5.909366891,5.696889444,6.127250273,6.350931228,5.440743643,5.834786533,5.551702537,5.552416984
"TAF8",6.85450438766667,7.01148699,7.17314398866667,7.27125517733333,7.34456345233333,6.90287237166667,6.73301492233333,6.96018667266667,6.96254440333333,6.97416011966667,6.836632739,6.75138720433333,6.76886760066667,6.65992410433333,6.60807043633333,6.27766785733333,7.030936144,6.84229140833333,6.796737421,6.94083026833333
"TAF9B",7.40765640633333,7.25958599533333,7.44898070733333,7.737311374,7.501219028,7.787931431,7.416283834,7.126565252,7.53121002366667,7.721133194,7.43379727433333,7.82681479566667,7.76810501533333,7.77100883533333,7.74358789833333,7.772104543,7.28369785966667,7.42893502033333,7.29329067933333,7.20116104066667
"TAFA1",4.279416659,6.659134105,6.435166727,6.122701785,6.402583394,6.506886467,6.433424759,6.173232151,6.47805466,6.325461943,5.842385547,6.125760335,5.133610822,5.736220425,5.314620563,5.30490894,6.107244799,6.394560001,5.525177443,5.495034055
"TAGAP",9.43407171075,9.52014017325,9.96324751375,9.93526213525,9.95560528275,9.6546423175,10.05763665175,9.60740610325,10.10713305875,10.39518002,9.50035454725,9.6899098415,9.827510591,9.58040901225,8.943481845,9.9769025475,10.42022465025,9.439884229,9.6251144305,9.488711459
"TAGLN",8.247431103,7.3054412565,7.2550424,7.4179311815,7.7529877015,8.5036782125,8.350596745,9.1982608285,8.113738342,8.937885214,7.601523226,9.934065346,9.2280167385,8.564942136,9.032579471,7.8514598775,7.1094172555,7.516266922,8.15252661,7.723503502
"TAL1",9.629607022,9.009024753,8.393392252,9.032045717,8.102147569,8.274752931,6.331245319,9.704573867,7.362940789,9.080202879,7.645545125,8.170920075,7.403343283,7.492468041,8.727859654,7.876100887,8.21837125,6.649119077,7.72613925,7.731585478
"TALAM1",8.409857135,8.051838582,8.831550198,8.564374132,8.802932206,7.734945621,8.257204165,7.406228908,7.932621439,7.693760894,8.482372773,8.727681487,9.301904381,8.764071396,7.957641199,9.419141615,8.561674379,8.853245977,8.649535723,8.243267472
"TAMALIN",8.466454945,8.379302765,8.758026773,9.038482722,8.742781186,8.293697108,8.406309617,8.324344527,8.114027306,8.171048269,9.238337444,9.118201038,9.959749027,9.249914355,9.192424818,9.591901842,8.777091751,9.349722685,9.309970416,9.096749558
"TANC2",4.225226859,4.623926786,4.55593875,5.00612432,4.699774224,4.041831774,4.184588814,4.182122944,4.109228722,4.006126153,4.768040711,4.257375284,3.84393488,4.171007601,4.306855796,4.252097525,4.683059865,4.864958541,4.742592199,4.668544166
"TANK",6.3295236035,6.5536252525,6.601474605,6.8458095255,6.61365576,7.369080748,7.35288906,7.3890755055,7.34125475,7.2580477285,6.754595127,7.139110194,7.345632271,7.70766175,7.2904253615,7.430138769,7.0632902885,7.178607222,7.0393668075,6.5574305625
"TAOK1",6.99343186566667,6.78062161066667,7.23332285366667,7.02474988133333,6.98311279033333,6.956647881,7.204283006,7.14577506533333,7.28514099066667,7.31356498566667,6.874304949,7.52701592133333,7.24527201933333,7.48830791533333,7.01886808233333,7.54643337566667,6.88591687666667,6.747024268,6.89222121566667,6.71576934866667
"TAOK2",7.364581492,7.151750146,6.735816859,6.547531421,6.608189772,7.563865492,7.353320075,7.422051653,7.832312389,7.615602115,6.637912772,7.056329458,6.799211623,6.728572894,6.713803097,6.584309709,6.661783895,6.387186628,6.543491038,6.746500567
"TAP1",11.51760589,10.82566013,10.68564845,10.45792538,10.89267447,10.49993199,10.72999988,10.99282918,10.64745879,10.65967041,10.28505414,9.989592303,10.78503762,10.3036262,10.01445547,10.19267415,10.29910517,10.47975874,10.02126314,10.22846125
"TAP2",8.809612714,8.2510035625,8.356087315,8.2296507035,8.7874331065,8.6953402185,8.1197249645,8.6543410075,8.5722506305,8.2017427185,8.193199836,8.323667369,8.4976893295,8.2424670955,8.4916137385,8.838625294,8.66908644,8.32195183,7.9461217485,8.134649953
"TAPBP",9.93636574,9.755106873,9.848114228,9.6965463885,9.8404759615,10.817070264,10.7843395415,10.6637430635,10.8136233935,10.595853284,9.8801917925,10.5346521355,10.535684334,10.716772834,11.119926565,10.406557312,9.7214158065,9.931390047,9.868720434,10.013532461
"TAPBPL",8.8359740135,9.136404679,9.26621911,8.7773510895,8.6131799845,9.6845985685,9.1161367465,9.832717959,9.5250956505,9.9079044295,8.894138419,9.6939397675,9.7038796855,9.5502660645,9.5504896095,9.1886546265,9.4274446515,9.1555647435,9.2317173345,8.969986744
"TAPT1",7.431229582,7.084628157,7.40125736066667,7.04066267966667,7.23928285033333,7.01992208133333,7.07705234266667,6.745603789,7.20296772933333,7.036836833,7.345034011,7.79670948366667,7.282736124,7.35853067033333,7.55579839033333,7.524367741,7.36832375866667,7.18710756233333,7.51021692033333,7.410271164
"TAPT1-AS1",8.05636315,7.863897283,7.510184218,7.263902919,7.917580175,7.239778959,7.380576583,7.466920796,8.07821601,7.571798238,6.899108017,7.514860975,6.633589208,6.97686993,7.283765253,6.716955305,7.322380097,6.814976373,7.075887285,6.839143604
"TARDBP",10.1959236805,9.829108192,9.9937069695,9.8275653105,9.934209718,9.4722911625,9.669905358,9.294233554,9.6732840485,9.427899351,9.5150903725,9.815758776,9.5239635725,9.726386212,9.5418557755,9.690982415,9.304867788,9.615546326,9.387772298,9.328913931
"TARP",9.4870701154,10.126588014,10.7335379566,9.9409154788,9.8790399984,10.8875770862,10.1771458188,9.8139401022,9.6231741886,11.2004128884,9.2578897964,10.4349762098,9.2647297028,10.0751141732,9.6087546604,10.112537289,10.4100606484,10.1974216436,8.497355145,9.3077074962
"TARS3",7.477588151,7.4068271445,7.6804797395,7.480905725,7.674576175,7.289046835,7.3862771875,7.257684973,7.331971244,7.410380246,7.46804205,7.4046243085,7.10867815,7.1933974825,7.133450005,7.4085561975,7.5080275095,7.3867065825,7.416930303,7.443611598
"TAS2R43",5.718265039,6.095273692,5.906201786,6.213646354,5.799876462,7.344470223,7.410505608,7.086038424,7.463965281,7.686065918,6.071579119,7.603555905,7.074969132,7.330640954,7.09877473,7.54717488,6.143607193,5.68813215,5.881486628,5.767992258
"TAS2R45",5.718265039,6.095273692,5.906201786,6.213646354,5.799876462,7.344470223,7.410505608,7.086038424,7.463965281,7.686065918,6.071579119,7.603555905,7.074969132,7.330640954,7.09877473,7.54717488,6.143607193,5.68813215,5.881486628,5.767992258
"TASL",9.664611354,8.887019862,8.317851964,8.246011627,8.484612017,7.924817214,8.083965148,8.120685136,8.422363652,8.022518453,8.165519269,8.028078054,8.338742631,7.768318283,7.839814158,7.793277741,8.139469008,7.756462387,8.114179146,7.945360039
"TASOR",10.27713743,10.07392502,10.05655074,9.816249897,10.10773819,10.03818183,9.720658487,9.839234366,9.819810113,9.992082869,9.528712655,9.707758239,9.181633854,9.267902121,9.437472105,9.388852841,9.725937008,9.19321988,9.473551926,9.438020703
"TASOR2",7.92972791266667,7.71702671666667,7.96928356,8.045286396,8.18735278233333,7.000962036,7.21658825666667,6.75146412,7.04226663633333,7.02515115666667,7.77410854866667,7.65101968433333,7.953283646,7.755614098,7.869576854,7.94008564,7.572794109,7.926376089,7.67431846833333,7.799174759
"TBC1D1",7.7772852935,8.278753537,8.092992621,7.929455665,8.213994067,8.025473936,7.8719943235,8.3567862145,8.203003733,8.158715578,8.065533194,7.8349481515,7.3827331915,7.485404008,7.699889571,7.2268519375,8.0015311035,7.5934544915,7.801777309,8.013642223
"TBC1D10A",7.261808007,7.039285915,7.287137935,6.900603296,7.172046838,6.586860402,6.635414775,6.357900403,6.313211952,6.361946546,7.106078834,7.752704989,7.913627074,7.258891471,7.059693226,7.437224744,6.858703368,7.287716116,7.250551201,7.135771323
"TBC1D10C",10.62832335,10.45360047,10.78074634,10.52222683,10.64051924,11.25932063,11.47637752,10.78929665,11.35379384,11.71230487,10.46153889,11.37800153,10.74659413,11.01614886,10.94524915,11.13562403,10.62971239,10.44948365,10.27242839,10.51182664
"TBC1D12",6.132151934,5.9727152655,5.6056270265,5.7335311385,5.6782298165,5.829885571,5.533582393,6.1829994415,5.8808004755,5.953907896,6.339931164,5.842178058,6.679041802,6.2785216525,6.6166613855,6.4662707045,6.6354938355,6.108023722,6.4966438105,6.295444153
"TBC1D17",7.632574593,7.489741145,7.468669598,7.365442686,7.512118639,8.60843845,8.611948087,8.244878232,8.428362273,8.646233605,7.41991711,8.100443943,8.01479034,8.048279477,8.284094344,8.195713136,7.647034119,7.573524605,7.445648979,7.48862354
